"IDNumber";"LastName";"FirstName";"Sex";"DOB";"Firstonlist"
"14400316";"Bogdanovic";"Rajko";"M";1931.11.15 0:00:00;1970.12.31 0:00:00
"4602757";"Kiffmeyer";"Constanz";"M";1951.2.27 0:00:00;1970.12.31 0:00:00
"14400057";"Kurajica";"Bojan";"M";1947.11.15 0:00:00;1970.12.31 0:00:00
"14500477777";"Minic";"Dragoljub";"M";1937.3.5 0:00:00;1970.12.31 0:00:00
"14500159";"Marangunic";"Srdjan";"M";1943.10.31 0:00:00;1970.12.31 0:00:00
"14500183";"Marovic";"Drazen";"M";1938.1.14 0:00:00;1970.12.31 0:00:00
"14500078";"Kovacevic";"Vlatko";"M";1942.3.26 0:00:00;1970.12.31 0:00:00
"14500264";"Antunac";"Goran";"M";1945.4.16 0:00:00;1970.12.31 0:00:00
"14600030";"Bukic";"Enver";"M";1937.12.2 0:00:00;1970.12.31 0:00:00
"14500280";"Bukal";"Vladimir";"M";1939.11.1 0:00:00;1970.12.31 0:00:00
"14600706";"Parma";"Bruno";"M";1941.12.30 0:00:00;1970.12.31 0:00:00
"14600730";"Planinec";"Albin";"M";1944.4.18 0:00:00;1970.12.31 0:00:00
"14600749";"Bajec";"Ivo";"M";1932.4.24 0:00:00;1970.12.31 0:00:00
"14600838";"Puc";"Stojan";"M";1921.4.9 0:00:00;1970.12.31 0:00:00
"14400537";"Kelecevic";"Nedeljko";"M";1947.3.11 0:00:00;1970.12.31 0:00:00
"14500566";"Bertok";"Mario";"M";1929.9.2 0:00:00;1970.12.31 0:00:00
"14600145";"Musil";"Vojko";"M";1945.8.18 0:00:00;1970.12.31 0:00:00
"14100215";"Podgaets";"Mikhail";"M";1947.7.23 0:00:00;1970.12.31 0:00:00
"900265";"Rajkovic";"Dusan";"M";1942.6.17 0:00:00;1970.12.31 0:00:00
"4601670";"Soos";"Bela";"M";1930.3.6 0:00:00;1970.12.31 0:00:00
"4601122";"Gerusel";"Mathias";"M";1938.2.5 0:00:00;1970.12.31 0:00:00
"4601033";"Besser";"Hans";"M";1935.2.4 0:00:00;1970.12.31 0:00:00
"4500369";"Etruk";"Rein T";"M";1938.3.22 0:00:00;1970.12.31 0:00:00
"4601076";"Kestler";"Hans-Guenther";"M";1939.12.12 0:00:00;1970.12.31 0:00:00
"14500230";"Grdinic";"Zvonimir";"M";1938.12.22 0:00:00;1970.12.31 0:00:00
"14100070";"Kuzmin";"Gennadi P";"M";1946.1.19 0:00:00;1970.12.31 0:00:00
"14600323";"Stupica";"Janesz";"M";1935.3.11 0:00:00;1970.12.31 0:00:00
"14100193";"Savon";"Vladimir A";"M";1940.9.26 0:00:00;1970.12.31 0:00:00
"14100096";"Tukmakov";"Vladimir B";"M";1946.3.15 0:00:00;1970.12.31 0:00:00
"14500094";"Cebalo";"Miso";"M";1945.2.6 0:00:00;1970.12.31 0:00:00
"14602059";"Mestrovic";"Zvonimir";"M";1944.10.17 0:00:00;1970.12.31 0:00:00
"14503239";"Ozanic";"Marijan";"M";1947.9.8 0:00:00;1970.12.31 0:00:00
"14500345";"Messing";"Hrvoje";"M";1940.7.26 0:00:00;1970.12.31 0:00:00
"4601360";"Schiffer";"Karl-Josef";"M";1937.2.25 0:00:00;1970.12.31 0:00:00
"2000113";"Dzindzichashvili";"Roman";"M";1944.5.5 0:00:00;1970.12.31 0:00:00
"2000857777";"Shamkovich";"Leonid";"M";1923.6.1 0:00:00;1970.12.31 0:00:00
"2000326";"Kaplan";"Julio P";"M";1950.7.25 0:00:00;1970.12.31 0:00:00
"2001098";"Bisguier";"Arthur B";"M";1929.10.8 0:00:00;1970.12.31 0:00:00
"2000016";"Fischer";"Robert J";"M";1943.3.9 0:00:00;1970.12.31 0:00:00
"2000270";"Lein";"Anatoly";"M";1931.3.28 0:00:00;1970.12.31 0:00:00
"2000385";"Byrne";"Robert E";"M";1928.4.20 0:00:00;1970.12.31 0:00:00
"14500752";"Ledic";"Tomislav";"M";1936.8.5 0:00:00;1970.12.31 0:00:00
"200271";"Beyen";"Roland";"M";1932.4.6 0:00:00;1970.12.31 0:00:00
"2500167";"Moles";"John";"M";1949.9.22 0:00:00;1970.12.31 0:00:00
"2000121";"Kavalek";"Lubomir";"M";1943.8.9 0:00:00;1970.12.31 0:00:00
"2000903";"Saidy";"Anthony F.";"M";1937.5.16 0:00:00;1970.12.31 0:00:00
"200050";"Rooze";"Jan";"M";1947.3.7 0:00:00;1970.12.31 0:00:00
"2000210";"Browne";"Walter S.";"M";1949.1.10 0:00:00;1970.12.31 0:00:00
"20006017777";"Reshevsky";"Samuel H.";"M";1911.11.26 0:00:00;1970.12.31 0:00:00
"2001055";"Minev";"Nikolay N";"M";1931.11.8 0:00:00;1970.12.31 0:00:00
"2000253";"Addison";"William G";"M";1933.11.28 0:00:00;1970.12.31 0:00:00
"1500198";"Vinje-Gulbrandsen";"Arne";"M";1943.3.27 0:00:00;1970.12.31 0:00:00
"4600185";"Dueball";"Juergen";"M";1945.3.29 0:00:00;1970.12.31 0:00:00
"14501082";"Gliksman";"Darko";"M";1937.10.6 0:00:00;1970.12.31 0:00:00
"1500236";"Wibe";"Terje";"M";1947.10.6 0:00:00;1970.12.31 0:00:00
"1500074";"Ogaard";"Leif";"M";1952.1.5 0:00:00;1970.12.31 0:00:00
"15000346";"Ilievski";"Dimitar";"M";1941.8.24 0:00:00;1970.12.31 0:00:00
"15000222";"Sofrevski";"Jovan";"M";1935.8.17 0:00:00;1970.12.31 0:00:00
"2000911";"Volovich";"Anatoly A";"M";1936.9.21 0:00:00;1970.12.31 0:00:00
"14900068";"Plachetka";"Jan";"M";1945.2.18 0:00:00;1970.12.31 0:00:00
"2000237";"Rogoff";"Kenneth S";"M";1953.3.22 0:00:00;1970.12.31 0:00:00
"1500147";"Hoen";"Ragnar";"M";1940.10.5 0:00:00;1970.12.31 0:00:00
"1500120";"Johannessen";"Svein";"M";1937.10.17 0:00:00;1970.12.31 0:00:00
"15000591";"Ilievski";"Borce";"M";1935.8.17 0:00:00;1970.12.31 0:00:00
"1500040";"Zwaig";"Arne";"M";1947.2.6 0:00:00;1970.12.31 0:00:00
"15000249777";"Nicevski";"Risto";"M";1945.6.28 0:00:00;1970.12.31 0:00:00
"2500043";"Patterson";"Nicholas J";"M";1947.6.9 0:00:00;1970.12.31 0:00:00
"14500639";"Damjanovic";"Mato";"M";1927.3.23 0:00:00;1970.12.31 0:00:00
"14901536";"Timoscenko";"Gennadij";"M";1949.4.27 0:00:00;1970.12.31 0:00:00
"600687";"Zinser";"Sylvain";"M";1936.11.24 0:00:00;1970.12.31 0:00:00
"4600789";"Maeder";"Karl-Heinz";"M";1948.10.17 0:00:00;1970.12.31 0:00:00
"601233777";"Mazzoni";"Guy";"M";1934.9.28 0:00:00;1970.12.31 0:00:00
"6300693777";"Bilyap";"Siracettin";"M";1923.11.17 0:00:00;1970.12.31 0:00:00
"600962";"Boutteville";"Cesar";"M";1917.6.24 0:00:00;1970.12.31 0:00:00
"601462";"Huguet";"Bernard";"M";1933.3.30 0:00:00;1970.12.31 0:00:00
"600350";"Simonovic";"Borko";"M";1920.1.1 0:00:00;1970.12.31 0:00:00
"5800200";"Giam";"Choo-Kwee";"M";1942.5.7 0:00:00;1970.12.31 0:00:00
"5800048";"Tan";"Lian-Ann";"M";1947.9.8 0:00:00;1970.12.31 0:00:00
"600199";"Pytel";"Krzysztof";"M";1945.5.15 0:00:00;1970.12.31 0:00:00
"600610777";"Thiellement";"Andre";"M";1906.1.1 0:00:00;1970.12.31 0:00:00
"600806";"Ducic";"Bogdan";"M";1948.9.30 0:00:00;1970.12.31 0:00:00
"3500519";"Boudy";"Julio";"M";1951.6.11 0:00:00;1970.12.31 0:00:00
"3500063";"Hernandez Onna";"Roman";"M";1949.11.23 0:00:00;1970.12.31 0:00:00
"3500250";"Rodriguez Cordoba";"Jesus";"M";1949.6.15 0:00:00;1970.12.31 0:00:00
"3500314";"Cobo Arteaga";"Eldis";"M";1929.1.9 0:00:00;1970.12.31 0:00:00
"6300090777";"Ibrahimoglu";"Ismet";"M";1951.3.18 0:00:00;1970.12.31 0:00:00
"5200075";"Balinas";"Rosendo C";"M";1941.9.10 0:00:00;1970.12.31 0:00:00
"900079";"Velimirovic";"Dragoljub";"M";1942.5.12 0:00:00;1970.12.31 0:00:00
"900230";"Matanovic";"Aleksandar";"M";1930.5.23 0:00:00;1970.12.31 0:00:00
"5200016";"Torre";"Eugenio";"M";1951.11.4 0:00:00;1970.12.31 0:00:00
"5200318";"Estimo";"Samuel";"M";1943.3.21 0:00:00;1970.12.31 0:00:00
"5400015777";"Caminade";"Andrija";"M";1936.3.11 0:00:00;1970.12.31 0:00:00
"5200237";"Lobigas";"Julian";"M";;1970.12.31 0:00:00
"600334";"Macles";"Jacques";"M";1945.7.8 0:00:00;1970.12.31 0:00:00
"5200520";"Bandal";"Rosendo";"M";;1970.12.31 0:00:00
"3500110";"Diaz Diaz";"Joaquin Carlos";"M";1948.7.5 0:00:00;1970.12.31 0:00:00
"5200040777";"Rodriguez";"Ruben";"M";1946.12.7 0:00:00;1970.12.31 0:00:00
"5200300";"Badilles";"Glicerio";"M";1921.12.21 0:00:00;1970.12.31 0:00:00
"5500010";"Bouaziz";"Slim";"M";1950.4.16 0:00:00;1970.12.31 0:00:00
"5500028";"Belkadi";"Ridha";"M";1925.4.25 0:00:00;1970.12.31 0:00:00
"5100143";"Acevedo Milan";"Armando";"M";1937.7.4 0:00:00;1970.12.31 0:00:00
"600024";"Spassky";"Boris  V.";"M";1937.1.30 0:00:00;1970.12.31 0:00:00
"5200148";"Naranja";"Renato";"M";1940.9.24 0:00:00;1970.12.31 0:00:00
"4602510";"Eising";"Johannes";"M";1935.5.30 0:00:00;1970.12.31 0:00:00
"4611462";"Moehring";"Guenther";"M";1936.11.25 0:00:00;1970.12.31 0:00:00
"4600061";"Schmid";"Lothar";"M";1928.5.10 0:00:00;1970.12.31 0:00:00
"44547";"Donner";"Jan H.";"M";1927.7.6 0:00:00;1970.12.31 0:00:00
"4611551";"Pollak";"Georg";"M";1946.6.12 0:00:00;1970.12.31 0:00:00
"4611594";"Hennings";"Artur";"M";1940.7.11 0:00:00;1970.12.31 0:00:00
"4600010";"Huebner";"Robert";"M";1948.11.6 0:00:00;1970.12.31 0:00:00
"3500179";"Garcia Martinez";"Silvino";"M";1944.7.4 0:00:00;1970.12.31 0:00:00
"4600150";"Darga";"Klaus";"M";1934.2.24 0:00:00;1970.12.31 0:00:00
"4611373777";"Pietzsch";"Wolfgang";"M";1930.12.21 0:00:00;1970.12.31 0:00:00
"4605977";"Jahr";"Ulrich";"M";1927.2.15 0:00:00;1970.12.31 0:00:00
"4608313";"Teufel";"Juergen";"M";1946.7.2 0:00:00;1970.12.31 0:00:00
"4603850";"Teschner";"Rudolf";"M";1922.2.16 0:00:00;1970.12.31 0:00:00
"4603230777";"Lehmann";"Heinz";"M";1921.10.20 0:00:00;1970.12.31 0:00:00
"4603184";"Christoph";"Manfred";"M";1931.5.28 0:00:00;1970.12.31 0:00:00
"4602978";"Juhnke";"Karl";"M";1948.8.23 0:00:00;1970.12.31 0:00:00
"4600029";"Hort";"Vlastimil";"M";1944.1.12 0:00:00;1970.12.31 0:00:00
